sample,avg_log_fold_change
TACO1,0.5118087719298245
PMM1,-0.3340464912280699
GAP43,-0.3570605263157896
NENF,0.3137736842105262
SQLE,2.1724947368421046
MRPL28,0.47598245614035084
LOC100289341,-0.1954526315789473
FBXL13,-0.11757982456140348
FBXL12,-0.365292105263158
FBXL15,0.17688684210526306
CYP27B1,0.9562833333333336
FBXL17,-0.49533070175438587
FBXL16,2.0123815789473682
FAM169A,0.2675105263157894
FAM116B,0.2956517543859651
FAM116A,-0.235982456140351
FAM169B,-0.04477719298245613
RALGAPA2,-0.7188894736842103
GHDC,-0.013466666666666797
H19,-0.388778947368421
SDK2,-1.3945192982456136
GRP,0.5326140350877194
TPRN,1.6527982456140344
THSD4,0.013640350877192972
KIAA0895L,-0.19112894736842106
CHST9,-3.4652684210526328
CHST8,0.8693956140350877
COL4A5,-0.029803508771929846
COL4A4,-1.1344394736842105
COL4A3,-1.9980578947368415
COL4A2,-0.32804912280701753
COL4A1,0.16139649122807015
SLC35D2,-0.17129035087719305
CHST1,1.519648245614035
ZNF879,-0.35640877192982434
CHST3,-1.7191271929824572
CHST2,-1.3330912280701759
CHST5,-0.6521543859649126
CHST4,-1.333159649122807
CHST7,-1.286386842105264
CHST6,1.543012280701754
ITGAX,0.9669429824561404
OR8J1,0.0
SNORD115-17,0.0
BCL2A1,0.6633508771929822
GPSM2,1.0644482456140345
HLCS,0.36036929824561414
NOG,-0.8041675438596488
LIPG,-0.4946885964912281
ITGAV,0.3333780701754387
HIBCH,-0.5268017543859648
ZNF703,0.7908350877192984
ITGAL,0.6503219298245615
ITGAM,0.2886350877192984
LOC286359,0.011671052631578948
HLF,-3.702393859649123
NOV,-1.7302719298245621
FAM134C,0.12541754385964907
FAM134B,0.006088596491228083
FAM134A,0.15153596491228072
SERPING1,-1.2606754385964911
SMAD9,-1.620168421052632
TRERF1,0.7384921052631581
LOC653501,-0.7267973684210528
LRPAP1,0.06439035087719301
LQK1,0.4755526315789474
SMAD6,-0.7410877192982455
SMAD7,-0.16861578947368408
GOLPH3L,0.5774771929824564
SMAD1,0.0399298245614035
AFTPH,0.4696885964912281
SMAD3,-0.5939508771929827
MUS81,0.061383333333333304
AMMECR1L,-0.11976140350877185
IL1RAPL1,-0.7230105263157893
TMPRSS11B,0.07333684210526316
IGF2R,-0.23528070175438617
TMPRSS11D,-0.08411052631578948
TMPRSS11F,-0.16627456140350877
ZC3H10,-0.14462192982456146
RAD21L1,0.4807824561403509
IL1RAPL2,-1.540272807017544
SLC36A3,-0.12250175438596489
CKS1B,0.6894561403508772
SLC36A1,0.346015789473684
ST13,-0.46325263157894725
RPL31P11,-0.5586078947368422
C14orf115,0.25618771929824563
ZC3H15,0.2944412280701754
TMEM213,-2.6773254385964904
C14orf118,-0.42226052631578953
ARTN,2.083747368421053
ART1,0.32793859649122814
HRH3,0.1704201754385965
ART3,-0.4119149122807017
HERC2P2,-1.5807938596491231
ART5,-1.4334763157894734
ART4,-2.352533333333334
RNF111,-0.14442807017543857
TCEA2,-0.16568684210526316
TCEA3,0.704471052631579
TCEA1,0.39294035087719303
MGC57346,-0.32526666666666665
COX4I2,-1.07269649122807
COX4I1,-0.4107157894736844
BFAR,0.23909210526315786
ZC3H18,-0.08108508771929825
TMEM212,0.21658771929824563
SNORD115-13,0.01743245614035088
TCEB3B,0.15798947368421057
SIPA1,0.12524473684210516
CRTAM,0.5480096491228068
EDA,-1.5591105263157907
OR6P1,0.0
CCDC116,-1.011792105263158
CADPS2,-0.2118438596491229
CCDC114,0.7584763157894734
CCDC115,-0.027264035087719223
CCDC112,0.3553885964912281
CCDC113,0.1596087719298245
CCDC110,-0.07270438596491227
CCDC111,-0.4269526315789472
LEO1,0.6681438596491232
ATP1A4,0.1697684210526317
ATP1A3,2.490788596491227
ATP1A2,-4.985892105263161
ATP1A1,0.1426447368421053
KGFLP2,-0.5377973684210527
MGRN1,0.6227728070175443
TCP1,0.06558771929824556
CRTAP,-0.9623377192982457
CBLC,1.4062587719298252
SPHK1,0.23189210526315804
DPT,-3.1509649122807004
BPESC1,-0.007563157894736841
CUEDC1,0.27044649122807
CUEDC2,0.11861929824561404
CBLB,-0.13200350877192973
CPEB4,-0.16063596491228083
CPEB1,-2.0329271929824557
ZNF45,-0.14996052631578954
CPEB3,-0.5651824561403508
CPEB2,-0.05378333333333326
BEGAIN,-1.6567833333333333
RBMXL3,0.008849999999999998
OSGEP,0.004446491228070205
ABAT,0.75581052631579
LOC100129637,-0.8117543859649125
ZNF780A,-0.04626491228070182
ZNF780B,-0.4214728070175438
TLN2,-1.6880035087719296
FRG1,-0.32450701754385963
FRG2,0.1851640350877193
RHEBL1,0.9218780701754387
ZNF41,-0.024717543859649117
IFT80,0.12269298245614046
FBRS,0.5031526315789474
ZNF414,0.05348245614035094
IFT88,0.10792631578947352
IL10RA,-0.29918508771929814
POU5F1B,-0.38377719298245605
SP1,-0.1633991228070176
SLC27A4,0.7163552631578942
SP2,-0.3404122807017543
OLA1,0.41561052631578943
PNOC,0.3070166666666665
CNTF,-0.6053035087719298
MCM10,2.836761403508773
PDIA5,0.4436885964912278
SP4,-0.3765570175438596
TMEM38B,0.14842807017543874
THUMPD3,0.41210526315789475
IGFBPL1,1.1733078947368425
SP5,-0.3542833333333334
ATG4C,-0.3114763157894739
ATG4B,0.01690964912280697
ATG4A,0.29019649122807023
THUMPD2,-0.014323684210526341
LOC441208,-0.38125175438596504
ATG4D,0.6778464912280702
PHOX2A,-0.2412228070175438
PHOX2B,-0.025710526315789472
SNORD114-31,0.0
SNORD114-30,0.0
LRGUK,0.7696140350877194
MPHOSPH8,-0.5916921052631582
UPK2,0.4700587719298246
CFH,-1.1220701754385967
CFI,-1.4911587719298245
PNP,0.8378850877192979
ANKFY1,-0.38138333333333313
C1orf14,0.05315438596491228
CFB,1.91025701754386
OR5P3,-0.31364824561403504
OR5P2,-0.330919298245614
MLLT4,-0.45152982456140356
SNORD115-6,0.0
CREBBP,-0.10509561403508755
PNN,-0.1332254385964912
PHYHIPL,-1.9130877192982454
ATP6V0E1,0.29961491228070186
ATP6V0E2,0.5348929824561404
RNF128,-1.2512745614035088
CFP,-1.5957412280701753
AAAS,0.08188070175438587
HAMP,0.9098377192982456
ZNF394,-0.27870263157894726
SIDT1,0.6705008771929828
SERPINA10,-0.0771035087719298
SIDT2,-0.8248385964912279
SNORD115-7,0.01735263157894737
TAF8,-0.34585000000000016
PISRT1,0.0
SIX4,1.3685078947368428
LOC283070,0.009514912280701776
SIX6,-0.0053324561403508795
PM20D1,-1.7387850877192994
MR1,0.39414210526315796
MGC4473,0.22632807017543854
SIX3,0.9166780701754391
SNORD115-4,0.0
WASH3P,-0.30903684210526333
CNPY4,0.16324122807017538
CNPY3,0.49166578947368417
CNPY2,0.432667543859649
CNPY1,-0.08337719298245615
NODAL,-1.4859491228070176
SYNJ1,-0.12952192982456137
KNDC1,0.07965614035087698
HMG20A,-0.05201140350877194
HMG20B,0.5883789473684211
PHOSPHO2,-0.21174649122807027
AAGAB,0.7868894736842104
C4orf19,-1.1103342105263156
C3orf79,-0.03514912280701754
SLC7A6OS,-0.2807807017543858
C3orf77,0.016816666666666667
C3orf75,0.025430701754385946
C3orf74,-0.41569649122807023
C4orf10,-0.2249228070175438
C3orf72,-0.39108333333333317
C3orf71,-0.3860912280701753
C3orf70,-0.5498763157894736
ZNF285,-0.27870350877192973
MRO,-0.8695973684210528
ZFP82,-0.21523245614035086
CHFR,0.37879561403508744
EFHA1,0.08068333333333341
RTBDN,2.1199771929824562
EFHA2,-2.532335964912282
AAA1,-0.02915789473684211
GPR75,-1.2623315789473688
NUDT9P1,-1.29920350877193
SYPL2,-1.1097078947368424
RFX8,-0.6956868421052631
ZNF222,-0.14044912280701743
RFX4,-0.367340350877193
OR2C3,-0.0871
AVPR2,-3.2911622807017546
RFX7,-0.08100789473684207
NRXN3,-0.45204649122807
GPR77,0.8631385964912283
NRXN1,-3.288892105263159
RFX3,-0.09053070175438586
SNORD104,0.0
RFPL2,0.3762403508771928
VPS37D,0.45970350877192967
NLRP13,-1.1338526315789474
APC,-0.2616166666666665
TMEM179B,0.36766403508771933
ABCE1,0.22986228070175435
UQCRC2,-0.28231754385964913
XPNPEP1,-0.013660526315789363
XPNPEP2,-2.9250587719298236
TIGD4,-0.13071754385964907
ZNHIT3,0.2020254385964912
GGCX,0.08651842105263165
PAPLN,-1.15931403508772
ADNP,0.4713684210526315
TMEM218,-0.4842508771929826
STXBP6,-2.6456377192982465
KHDRBS1,0.19988771929824553
RUNDC2C,-0.24002017543859652
KHDRBS3,-0.5802842105263155
GGCT,1.2180859649122802
VPS37C,0.6222157894736838
STAC2,-4.544962280701755
LOC283404,0.005542982456140327
ZNF395,-0.840157894736842
STAC3,0.8223912280701757
TBL1Y,-0.04866929824561404
LHCGR,-2.885842105263157
TMEM211,-0.4162728070175439
OR1Q1,-0.2085894736842106
TMEM127,0.20401842105263165
GPR78,0.0814122807017544
TRPA1,2.471390350877192
VPS37B,-0.4177684210526314
TTC7A,-0.29236842105263167
UQCRHL,0.14275263157894744
ZBED4,0.4930052631578948
C11orf2,-0.7093078947368422
C11orf1,-0.37254473684210515
DPYSL5,0.7126780701754389
DPYSL2,-1.481771052631579
DPYSL3,-0.5227684210526318
OSTM1,-0.33303070175438615
RUNX2,1.1715000000000009
C11orf9,8.157894736832442e-05
KRTAP10-12,-0.027466666666666667
KRTAP10-11,0.004578070175438597
KRTAP10-10,-0.004137719298245614
IGFBP2,0.03951140350877204
IGFBP3,-0.7499456140350877
IGFBP1,-2.312859649122807
BOP1,1.1764421052631577
IGFBP7,0.13381403508771922
IGFBP4,-0.40180526315789467
IGFBP5,-0.5713333333333334
SKP2,0.19791578947368413
TTC4,0.014413157894736893
CYP2R1,0.08473070175438586
CKLF,0.4314245614035086
ZNF193,-0.050086842105263214
C15orf26,0.16119649122807028
C15orf27,-0.2187087719298245
C15orf24,0.05977105263157897
GJA3,1.495469298245614
APLNR,-0.5624649122807018
C15orf23,0.9908850877192986
C15orf21,0.4193105263157895
GJA8,0.05913245614035087
CYP8B1,-1.4953877192982448
C15orf28,-0.7121184210526315
C15orf29,-0.362669298245614
STMN1,1.3566894736842101
S1PR2,-0.5072631578947371
KDM3B,-0.15890877192982455
REG1P,-0.00011491228070175439
STK17A,-0.23958070175438573
KDM3A,0.02359298245614029
LOC401387,-0.3134763157894736
S1PR1,-1.9557614035087716
ZNF642,0.35385614035087726
TMC4,1.407664912280702
MYO3A,-0.6723578947368419
TMC6,0.5810921052631579
KIAA1958,0.23760789473684218
APIP,-0.21075964912280684
TMC1,-0.5455710526315789
GPR15,-1.0713254385964917
TMC3,-0.0731087719298246
PKLR,0.175021052631579
TECRL,-0.09725175438596494
EIF2B4,0.07686315789473673
EIF2B5,0.3039166666666669
EIF2B2,0.11865263157894729
EIF2B3,-0.36566228070175444
EIF2B1,-0.11093508771929818
PRKAR2A,-0.24333684210526302
CSNK2A1P,0.3384780701754387
XRRA1,0.31676491228070175
C20orf56,-0.032834210526315785
C20orf54,1.233079824561403
TXNIP,-1.967166666666666
SLC36A4,0.06725438596491229
LOC389791,0.02431491228070175
ZNF876P,-0.29981140350877206
MLF1,0.39844298245614035
QPRT,0.792221052631579
IFT140,0.3845596491228069
MLF2,0.524540350877193
TMEM14C,-0.060480701754385906
FAM157A,0.044785087719298226
FAM157B,0.3877535087719297
FANCF,0.8445385964912283
MECOM,-1.1150263157894738
ITGA2B,-0.05906052631578952
RSPH1,1.5808061403508773
IFI16,-0.5837307017543862
SOX6,-2.176498245614034
LOC440944,-0.2791666666666666
TTC1,0.05749649122807012
C9orf128,-0.011815789473684214
C9orf129,0.24978421052631597
MYT1L,-0.05168333333333332
C9orf125,-2.1484596491228074
C9orf122,-0.10999298245614048
CEPT1,-0.29175877192982475
KIAA1267,-0.21225438596491228
RTCD1,0.3091991228070175
CFHR2,-0.02968333333333334
CFHR3,-0.5359078947368423
CLIC4,-0.2585596491228071
CLIC5,-2.13694298245614
CLIC2,-1.2649035087719296
CLIC3,0.8748745614035085
CFHR4,0.060783333333333314
CFHR5,-0.1311877192982456
KRTAP2-2,0.059128947368421045
KRTAP2-1,0.03467982456140352
CXorf1,-0.2911929824561403
KIAA0020,-0.02056403508771934
KRTAP2-4,-0.007171929824561403
TMEM147,0.6725298245614036
ASGR1,-0.6545912280701752
ASGR2,-0.09732192982456135
PCDHA1,0.9505666666666668
FOXL2,-0.15321228070175452
RIT1,0.3513701754385966
TMEM141,0.9358868421052636
FOXL1,0.07598596491228077
SF1,-0.1625973684210526
PCDHA6,-0.511488596491228
PKIB,1.568452631578948
TMEM149,0.5457745614035087
API5,0.09454561403508774
KRTCAP3,0.7482578947368422
NUMBL,-0.24187368421052613
RTKN2,1.9788859649122805
RNF180,-1.5503631578947366
P2RX7,-0.12036315789473684
SECISBP2L,-0.6439228070175439
SBF1P1,-0.18131842105263163
LOC100128811,0.020535087719298246
HAS2,-0.4105166666666666
KIAA1199,3.5959289473684235
HLA-DPA1,0.09605789473684202
ZSWIM3,0.03749298245614033
FAM32A,0.1478447368421052
KIAA1191,-0.03038333333333339
FER1L6,0.6634570175438598
ALOX12P2,-1.030878947368421
FER1L4,0.5594385964912281
FER1L5,-1.3749614035087725
CA5B,-0.6927438596491228
ZNF559,-1.0095535087719296
VWA1,0.7269315789473683
C19orf22,0.5877973684210523
C19orf23,0.40778333333333366
C19orf20,0.1605745614035089
C19orf21,3.0314578947368416
C19orf26,0.8591429824561404
ZMAT4,0.26523684210526305
C19orf24,0.565006140350877
C19orf25,0.2970201754385966
MYBL1,1.357619298245614
NR1D1,-0.664659649122807
C19orf28,0.7757157894736844
C19orf29,-0.015696491228070188
ITGB1BP1,-1.0114596491228072
ITGB1BP3,-0.5007307017543858
ITGB1BP2,0.3829771929824564
ZNF7,0.2541859649122808
ZNF2,0.030994736842105273
ZNF3,0.21210087719298223
CTCFL,0.20556929824561399
PHLDA1,-1.0880192982456145
RPL31,-0.4951289473684211
ZNF8,0.3735719298245615
PCP4L1,-0.8537210526315794
C11orf17,0.23582105263157901
C11orf16,0.04563771929824567
ZAP70,-0.4336342105263159
SNORD115-9,0.0
C11orf10,0.4275964912280698
ZCCHC13,0.003767543859649122
UFSP2,-0.5279473684210525
OGFR,0.3076087719298244
EPM2AIP1,-0.32900175438596485
CDC5L,0.1292245614035088
RAC2,0.4115552631578949
RAC3,0.7617464912280699
RAC1,0.1343105263157895
SBDS,-0.7258131578947369
RCL1,-0.3821473684210527
SBK2,0.4533070175438597
MRPS18A,0.15934824561403516
CPLX2,0.6407912280701753
CPLX3,-0.017165789473684204
ORC3L,0.04384122807017554
CPLX1,-0.20610087719298248
AP2A1,0.3254412280701755
CPLX4,0.2352429824561404
AP2A2,-0.19103947368421054
LOC389333,0.08865701754385963
LILRB3,0.14794122807017543
CADPS,1.235128947368421
FIGNL1,0.34941929824561413
KDM4DL,-0.7945947368421055
PBX3,-0.21757456140350884
PBX1,0.6607640350877193
AIRE,0.036096491228070175
TMOD2,-1.2662342105263151
MFSD11,0.17798333333333333
NSUN2,0.4061175438596491
NSUN5,0.543533333333333
NSUN4,0.04685964912280704
NSUN7,-0.2823219298245615
NSUN6,-0.17718947368421045
PRAMEF4,0.011460526315789475
PRAMEF5,0.0
PRAMEF6,-0.01465175438596491
TUBG2,-1.0270877192982455
FAM71F1,0.5664192982456138
PRAMEF1,0.05765263157894737
PRAMEF2,0.012386842105263158
FAM71F2,-0.8113807017543864
PTCH2,-2.0898201754385957
OR7G1,-0.003792105263157895
PCDHGA2,-1.8508587719298257
PRAMEF9,-0.005075438596491228
PRDM9,0.02049298245614035
SGK269,-0.6847254385964915
FAM108B1,-0.10575614035087727
TBC1D1,-0.16492631578947375
ZXDA,-0.3278184210526318
PAMR1,-3.9997596491228076
RAD9A,0.24968421052631576
ERGIC2,0.43955175438596483
ERGIC3,0.34261315789473695
CDR2L,0.39185350877193
ERGIC1,0.6656991228070178
CLEC14A,-1.3171271929824557
PDF,0.6502254385964912
B3GAT3,0.5035596491228068
B3GAT2,-0.6844649122807017
B3GAT1,-2.4306105263157884
FAM66E,-0.33061578947368425
FAM66C,-0.6827043859649122
PER1,-2.2532605263157897
CPPED1,0.11971140350877198
OR10A2,-0.014944736842105268
UXT,-0.06634824561403516
CALM2,0.36726578947368416
CALM3,0.2204192982456138
SPG21,0.30917719298245616
CALM1,-0.24053421052631563
GSDMA,0.3089368421052632
GSDMB,-0.839564035087719
GSDMC,0.8189219298245616
GSDMD,0.49149385964912257
HRH4,-0.7032649122807019
UPK1B,-0.37501403508771936
DLGAP2,-2.3546903508771933
DLGAP3,0.5544973684210525
DLGAP1,-1.2795447368421045
DLGAP4,0.18620350877192976
DLGAP5,3.7623087719298236
BRDT,0.27891052631578955
HRH2,-0.04216052631578955
MBNL2,-1.1346087719298241
MBNL3,-1.2429605263157895
PLK3,-0.762376315789474
A1BG,0.8032719298245616
TTC8,0.21197368421052637
PLK2,-0.15885438596491228
ZNF720,0.24335263157894751
OIP5,2.594908771929824
CLCN3,0.06295964912280712
CLCN2,1.1242692982456144
CLCN1,-1.3280491228070168
HRH1,-0.5835245614035087
CLCN7,0.5135798245614036
CLCN6,-1.1438333333333333
