gene_name,alteration_frequency
ZBED6,80.44135429262394
RNU6-983P,80.41112454655381
CFH,80.41112454655381
AC103925.1,80.41112454655381
IGFN1,80.41112454655381
AL365258.1,80.41112454655381
RAB29,80.38089480048367
CYCSP4,80.38089480048367
ATP6V1G3,80.38089480048367
UBE2T,80.38089480048367
AL365258.2,80.38089480048367
UCHL5,80.38089480048367
FAM204BP,80.38089480048367
DENND1B,80.38089480048367
AC114402.2,80.38089480048367
AC114402.1,80.38089480048367
SLC26A9,80.35066505441354
AC096533.1,80.35066505441354
PM20D1,80.35066505441354
AC119673.2,80.35066505441354
SLC41A1,80.35066505441354
AL391832.4,80.35066505441354
AL713965.1,80.35066505441354
RN7SL668P,80.35066505441354
PP2672,80.35066505441354
RO60,80.35066505441354
CFHR5,80.35066505441354
C1orf53,80.35066505441354
RGS18,80.35066505441354
SCARNA18B,80.35066505441354
RNY4P16,80.35066505441354
B3GALT2,80.35066505441354
AL513175.1,80.3204353083434
AL357793.2,80.3204353083434
LGR6,80.3204353083434
AL357793.1,80.3204353083434
CFHR4,80.3204353083434
LINC00184,80.3204353083434
CDC73,80.3204353083434
GLRX2,80.3204353083434
AL513175.2,80.3204353083434
LINC01132,80.3204353083434
AL160408.1,80.3204353083434
RGS1,80.3204353083434
PKP1,80.3204353083434
AL160408.4,80.3204353083434
AL160408.3,80.3204353083434
RGS21,80.3204353083434
AL160408.2,80.29020556227327
IRF2BP2,80.29020556227327
PTPRC,80.29020556227327
AL157402.2,80.29020556227327
F13B,80.29020556227327
AL391832.1,80.29020556227327
GPR37L1,80.29020556227327
ASPM,80.29020556227327
IL20,80.29020556227327
IL24,80.29020556227327
FCMR,80.29020556227327
AC098935.2,80.29020556227327
AC098935.1,80.29020556227327
PIGR,80.29020556227327
LINC01720,80.29020556227327
AL391832.2,80.29020556227327
AL139418.1,80.29020556227327
CFHR2,80.29020556227327
BX248415.1,80.29020556227327
AL390957.1,80.29020556227327
AL136987.1,80.29020556227327
RN7SKP126,80.29020556227327
MIR1278,80.29020556227327
RPL23AP22,80.29020556227327
EEF1A1P14,80.29020556227327
AL391832.3,80.29020556227327
PEBP1P3,80.29020556227327
LINC01222,80.25997581620314
AL136322.1,80.25997581620314
AL157402.1,80.25997581620314
AL391645.1,80.25997581620314
FCAMR,80.25997581620314
PTPRVP,80.25997581620314
PTPN7,80.25997581620314
ARL8A,80.25997581620314
LINC01348,80.25997581620314
LYST-AS1,80.25997581620314
RGS13,80.25997581620314
AL160408.5,80.25997581620314
AL161640.1,80.25997581620314
AC105941.1,80.25997581620314
LINC01221,80.25997581620314
MIR1537,80.25997581620314
LINC01351,80.25997581620314
SEPTIN14P12,80.22974607013302
IL10,80.22974607013302
IL19,80.22974607013302
AC096631.1,80.22974607013302
AC096631.2,80.22974607013302
LAD1,80.22974607013302
AC119427.2,80.22974607013302
TNNT2,80.22974607013302
RPL23AP16,80.22974607013302
MIR181A1HG,80.22974607013302
TNNI1,80.22974607013302
AC099335.1,80.22974607013302
RNU6-968P,80.22974607013302
AL035407.1,80.22974607013302
RGS2,80.22974607013302
ZNF101P2,80.22974607013302
AL136456.1,80.22974607013302
AL139135.1,80.22974607013302
AL139135.2,80.22974607013302
CRIP1P3,80.19951632406288
OR14L1P,80.19951632406288
CSRP1,80.19951632406288
LINC01354,80.19951632406288
AL122008.2,80.19951632406288
MIR181A1,80.19951632406288
MIR181B1,80.19951632406288
AL138927.1,80.19951632406288
KIF26B,80.19951632406288
OR2G3,80.19951632406288
AC096677.3,80.19951632406288
AL662889.1,80.19951632406288
AKT3-IT1,80.19951632406288
ZBTB41,80.19951632406288
AL035407.2,80.19951632406288
MRPS21P3,80.19951632406288
AKT3,80.19951632406288
RPS27AP5,80.19951632406288
MIR4426,80.19951632406288
AL354771.1,80.16928657799275
RNU1-132P,80.16928657799275
AL355472.3,80.16928657799275
LINC02768,80.16928657799275
AL139161.1,80.16928657799275
NID1,80.16928657799275
AL606804.1,80.16928657799275
OR2G2,80.16928657799275
AL355472.2,80.16928657799275
COA6-AS1,80.16928657799275
